Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,114.83749,50.816575
Spiraea_hypericifolia_subsp._hypericifolia,106.012977,50.644013
Spiraea_hypericifolia_subsp._hypericifolia,106.035,46.200833
Spiraea_hypericifolia_subsp._hypericifolia,107.344397,51.537783
Spiraea_hypericifolia_subsp._hypericifolia,105.828604,50.575769
Spiraea_hypericifolia_subsp._hypericifolia,106.357406,51.28155
Spiraea_hypericifolia_subsp._hypericifolia,111.425556,48.65
Spiraea_hypericifolia_subsp._hypericifolia,107.501275,51.85299
Spiraea_hypericifolia_subsp._hypericifolia,107.326775,51.690267
Spiraea_hypericifolia_subsp._hypericifolia,107.613031,51.715094
Spiraea_hypericifolia_subsp._hypericifolia,107.344724,51.537894
Spiraea_hypericifolia_subsp._hypericifolia,107.918739,51.935333
Spiraea_hypericifolia_subsp._hypericifolia,108.485887,51.276789
Spiraea_hypericifolia_subsp._hypericifolia,106.099604,48.472085
Spiraea_hypericifolia_subsp._hypericifolia,115.166944,51.1575
Spiraea_hypericifolia_subsp._hypericifolia,114.565567,50.933247
Spiraea_hypericifolia_subsp._hypericifolia,107.362475,51.565148
Spiraea_hypericifolia_subsp._hypericifolia,109.202055,47.173792
Spiraea_hypericifolia_subsp._hypericifolia,112.120514,47.543547
Spiraea_hypericifolia_subsp._hypericifolia,107.539575,51.25697
Spiraea_hypericifolia_subsp._hypericifolia,114.839578,50.817681
Spiraea_hypericifolia_subsp._hypericifolia,108.343247,51.341008
Spiraea_hypericifolia_subsp._hypericifolia,107.606033,51.706997
Spiraea_hypericifolia_subsp._hypericifolia,107.782045,51.065542
Spiraea_hypericifolia_subsp._hypericifolia,107.426889,47.935683
Spiraea_hypericifolia_subsp._hypericifolia,107.326653,51.689378
Spiraea_hypericifolia_subsp._hypericifolia,106.035,46.203333
Spiraea_hypericifolia_subsp._hypericifolia,106.017629,46.207201
Spiraea_hypericifolia_subsp._hypericifolia,114.534032,50.959967
Spiraea_hypericifolia_subsp._hypericifolia,105.927256,46.892492
Spiraea_hypericifolia_subsp._hypericifolia,107.917942,51.968236
Spiraea_hypericifolia_subsp._hypericifolia,107.354905,51.682217
Spiraea_hypericifolia_subsp._hypericifolia,107.551944,51.763611
Spiraea_hypericifolia_subsp._hypericifolia,106.01865,46.201005
Spiraea_hypericifolia_subsp._hypericifolia,107.995415,51.061152
Spiraea_hypericifolia_subsp._hypericifolia,106.068611,47.439722
Spiraea_hypericifolia_subsp._hypericifolia,105.032988,48.639653
Spiraea_hypericifolia_subsp._hypericifolia,106.711111,48.013611
Spiraea_hypericifolia_subsp._hypericifolia,106.83795,48.503642
Spiraea_hypericifolia_subsp._hypericifolia,107.456178,51.727647
Spiraea_hypericifolia_subsp._hypericifolia,107.401484,51.805855
Spiraea_hypericifolia_subsp._hypericifolia,107.644191,51.550752
Spiraea_hypericifolia_subsp._hypericifolia,107.559742,51.754545
Spiraea_hypericifolia_subsp._hypericifolia,106.028518,46.2174
Spiraea_hypericifolia_subsp._hypericifolia,107.327513,51.690197
